release_date,achievements,median_playtime,price,total_reviews,average_playtime,english,categories,owners,season,Rating
2009-09-16,0,174,7.19,6014,1254,1,Single-player;Online Multi-Player;Local Multi-Player;Partial Controller Support;Steam Cloud,1000000-2000000,Fall,Very Positive
2009-09-16,0,180,7.19,2239,127,1,Single-player;Online Multi-Player;Local Multi-Player;Partial Controller Support;Steam Cloud,1000000-2000000,Fall,Very Positive
2009-07-08,0,801,4.79,630,801,1,Single-player;Steam Cloud,100000-200000,Summer,Very Positive
2009-07-08,0,320,7.19,31574,618,1,Single-player;Multi-player;Online Multi-Player;Partial Controller Support;Steam Cloud,2000000-5000000,Summer,Very Positive
2009-07-08,0,17,7.19,310,17,1,Single-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Partial Controller Support;Steam Cloud,20000-50000,Summer,Very Positive
2009-07-08,0,100,4.79,133,100,1,Single-player;Steam Cloud,20000-50000,Summer,Very Positive
2010-10-25,12,363,7.19,1976,255,1,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud,200000-500000,Fall,Very Positive
2006-12-21,0,21,3.99,1189,21,1,Single-player,100000-200000,Winter,Very Positive
2006-12-21,0,0,3.99,124,0,1,Single-player,20000-50000,Winter,Positive
2007-02-02,0,96,4.99,2163,78,1,Single-player;Multi-player,200000-500000,Winter,Very Positive
2007-03-13,0,0,3.99,567,0,1,Single-player;Multi-player,50000-100000,Spring,Positive
2007-09-21,0,0,3.99,177,0,1,Single-player;Multi-player,20000-50000,Fall,Negative
2007-01-12,0,20,13.99,677,20,1,Single-player,100000-200000,Winter,Very Positive
2007-05-01,0,19,5.99,1254,14,1,Single-player,200000-500000,Spring,Very Positive
2011-10-28,0,102,0.0,1591,70,1,Single-player;Multi-player;MMO,500000-1000000,Fall,Very Positive
2007-03-27,0,0,5.79,115,0,1,Single-player;Multi-player;Co-op;Shared/Split Screen,20000-50000,Spring,Very Positive
2007-07-03,0,0,6.99,564,0,1,Single-player;Multi-player;Includes level editor,50000-100000,Summer,Positive
2007-06-29,0,74,9.99,747,74,1,Single-player;Multi-player;Partial Controller Support;Valve Anti-Cheat enabled,200000-500000,Summer,Positive
2007-06-12,0,90,15.99,2514,90,1,Single-player;Partial Controller Support,200000-500000,Summer,Negative
2007-03-15,0,70,3.99,1774,63,1,Single-player;Multi-player;Co-op,500000-1000000,Spring,Very Positive
2007-03-15,0,14,3.99,475,12,1,Single-player;Multi-player;Co-op,500000-1000000,Spring,Very Positive
2007-03-15,0,302,3.99,1571,201,1,Single-player;Multi-player;Co-op,500000-1000000,Spring,Positive
2007-03-15,0,20,3.99,686,14,1,Single-player;Multi-player;Co-op,500000-1000000,Spring,Negative
2007-03-15,0,58,8.29,1774,63,1,Single-player,1000000-2000000,Spring,Very Positive
2007-03-15,0,365,9.29,6255,435,1,Single-player,1000000-2000000,Spring,Very Positive
2007-03-15,0,0,4.99,429,0,1,Single-player,200000-500000,Spring,Positive
2007-03-15,0,25,4.99,2578,20,1,Single-player,1000000-2000000,Spring,Negative
2007-03-15,0,43,7.19,1636,62,1,Single-player,1000000-2000000,Spring,Positive
2007-03-29,0,245,4.99,6589,324,1,Single-player;Multi-player,1000000-2000000,Spring,Very Positive
2007-03-29,0,31,4.99,1082,24,1,Single-player,500000-1000000,Spring,Negative
2007-03-29,0,368,6.99,1345,254,1,Single-player,500000-1000000,Spring,Positive
2007-03-29,0,725,4.99,1899,714,1,Single-player;Partial Controller Support,500000-1000000,Spring,Very Positive
2007-03-29,0,0,3.99,236,0,1,Single-player;Multi-player,50000-100000,Spring,Positive
2007-03-29,0,0,6.99,263,0,1,Single-player;Multi-player;Co-op,50000-100000,Spring,Very Positive
2007-02-27,0,0,8.99,1088,0,1,Single-player;Partial Controller Support,200000-500000,Winter,Positive
2008-04-16,0,4774,25.99,1018,4774,1,Single-player;Multi-player;Includes level editor,100000-200000,Spring,Very Positive
2007-03-14,0,14,6.99,326,14,1,Single-player,100000-200000,Spring,Positive
2007-03-14,0,0,6.99,151,0,1,Single-player,100000-200000,Spring,Negative
2007-10-05,0,0,6.99,123,0,1,Single-player;Multi-player,20000-50000,Fall,Negative
2010-04-21,0,0,6.99,12,0,1,Single-player,0-20000,Spring,Negative
2009-04-30,0,341,6.99,2547,313,1,Single-player;Steam Trading Cards;Partial Controller Support,500000-1000000,Spring,Negative
2011-02-03,61,403,14.99,5105,327,1,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;In-App Purchases;Steam Cloud,500000-1000000,Winter,Negative
2011-06-14,0,330,6.99,347,320,1,Single-player;Steam Trading Cards;Steam Cloud,200000-500000,Summer,Negative
2007-05-04,0,253,5.99,1684,165,1,Single-player;Multi-player,500000-1000000,Spring,Negative
2007-05-04,0,46,5.99,508,46,1,Single-player;Multi-player,200000-500000,Spring,Negative
2007-05-04,0,1261,2.99,502,1244,1,Single-player,200000-500000,Spring,Positive
2007-05-04,0,82,2.99,417,66,1,Single-player,500000-1000000,Spring,Very Positive
2008-09-04,0,18,2.99,470,18,1,Single-player,500000-1000000,Fall,Very Positive
2008-09-04,0,0,2.99,111,0,1,Single-player;Multi-player,500000-1000000,Fall,Negative
2008-09-04,0,2224,2.99,2301,2235,1,Single-player,1000000-2000000,Fall,Very Positive
2008-09-04,0,0,2.99,284,0,1,Single-player;Multi-player,500000-1000000,Fall,Negative
2009-05-06,0,0,3.99,1921,0,1,Single-player;Multi-player;Steam Cloud;Includes level editor,200000-500000,Spring,Very Positive
2009-05-06,0,0,1.99,84,0,1,Single-player;Steam Cloud,20000-50000,Spring,Negative
2009-05-20,0,113,3.99,809,113,1,Single-player;Multi-player;Steam Cloud,100000-200000,Spring,Negative
2007-11-12,0,1503,19.99,9546,1417,1,Single-player;Multi-player,1000000-2000000,Fall,Very Positive
2007-06-05,0,280,6.99,2353,239,1,Single-player;Partial Controller Support,500000-1000000,Summer,Positive
